|Run	|Epoch	$RunName	#CorSim	#UnitErr	#PctErr	#PctCor	#PctErr2	#V4_AvgCaDiff	#V4_Gnmda	#V4_GgabaB	#V4_SSGi	#IT_AvgCaDiff	#IT_Gnmda	#IT_GgabaB	#IT_SSGi	#Output_AvgCaDiff	#Output_Gnmda	#Output_GgabaB	#Output_SSGi	#TstCorSim	#TstUnitErr	#TstPctCor	#TstPctErr	#PerTrlMSec	#V4_ActMAvg	#V4_ActMMax	#V4_MaxGeM	#V4_CorDiff	#V4_GiMult	#IT_ActMAvg	#IT_ActMMax	#IT_MaxGeM	#IT_CorDiff	#IT_GiMult	#Output_ActMAvg	#Output_ActMMax	#Output_MaxGeM	#Output_CorDiff	#Output_GiMult	#V1_ActAvg	#V4_PCA_NStrong	#V4_PCA_Top5	#V4_PCA_Next5	#V4_PCA_Rest	#IT_PCA_NStrong	#IT_PCA_Top5	#IT_PCA_Next5	#IT_PCA_Rest	#Output_PCA_NStrong	#Output_PCA_Top5	#Output_PCA_Next5	#Output_PCA_Rest
0	0	gpu_nd16_Base	0.02608	0.05	0.9375	0.0625	0.8661	-0.00185	0.2269	0.2621	0.01549	0.00676	0.2201	0.1746	0.01084	-0.007776	0.04868	0.2662	0.02986	0	0	0	0	0	0.02958	0.3952	1.073	0.09223	1	0.02673	0.2395	0.912	0.2712	1	0.02297	0.2918	0.8592	0.9739	1	0.07628	68	0.1484	0.07017	0.004061	19	0.01775	0.01371	0.001981	0	0.007564	0.005337	0.001247
0	1	gpu_nd16_Base	0.1303	0.05	0.7891	0.2109	0.7109	-0.001628	0.2218	0.2588	0.01647	0.006466	0.2198	0.1756	0.01269	-0.00827	0.04953	0.2703	0.02829	0	0	0	0	102.1	0.02939	0.4058	1.115	0.08723	1	0.0266	0.2387	0.8586	0.2657	1	0.0241	0.3391	0.7722	0.8697	1	0.07317	68	0.1484	0.07017	0.004061	19	0.01775	0.01371	0.001981	0	0.007564	0.005337	0.001247
0	2	gpu_nd16_Base	0.2553	0.04961	0.6641	0.3359	0.5703	-0.001839	0.223	0.2447	0.01425	0.005976	0.2196	0.1626	0.01109	-0.008373	0.04956	0.2732	0.03088	0	0	0	0	100.7	0.02881	0.429	1.163	0.07933	1	0.02688	0.2477	0.8095	0.2666	1	0.02921	0.4245	0.7266	0.7447	1	0.07135	68	0.1484	0.07017	0.004061	19	0.01775	0.01371	0.001981	0	0.007564	0.005337	0.001247
0	3	gpu_nd16_Base	0.2958	0.04937	0.6641	0.3359	0.5312	-0.001912	0.2246	0.2396	0.01385	0.006179	0.2182	0.1617	0.01174	-0.008991	0.05012	0.2774	0.03049	0	0	0	0	100.5	0.02879	0.4532	1.195	0.07322	1	0.02691	0.2477	0.7873	0.2569	1	0.03282	0.4731	0.7144	0.7042	1	0.06987	68	0.1484	0.07017	0.004061	19	0.01775	0.01371	0.001981	0	0.007564	0.005337	0.001247
0	4	gpu_nd16_Base	0.4011	0.0482	0.5703	0.4297	0.4219	-0.001778	0.2288	0.2388	0.01438	0.006016	0.2181	0.1495	0.01081	-0.009029	0.05065	0.2734	0.03187	0	0	0	0	99.18	0.0283	0.4873	1.228	0.06438	1	0.02643	0.2597	0.7647	0.2372	1	0.03614	0.5325	0.7025	0.5989	1	0.06864	68	0.1484	0.07017	0.004061	19	0.01775	0.01371	0.001981	0	0.007564	0.005337	0.001247
0	5	gpu_nd16_Base	0.4075	0.04867	0.5703	0.4297	0.4219	-0.001863	0.2256	0.2371	0.0149	0.006207	0.2206	0.1453	0.01093	-0.009218	0.05032	0.269	0.03593	0	0	0	0	100.8	0.02845	0.4899	1.243	0.06155	1	0.0261	0.27	0.7454	0.2381	1	0.04074	0.5833	0.7003	0.5925	1	0.06772	62	0.2081	0.0895	0.00371	15	0.03618	0.0168	0.001643	17	0.07649	0.03892	0.002375
0	6	gpu_nd16_Base	0.4439	0.04602	0.5391	0.4609	0.3594	-0.00104	0.2293	0.2415	0.01353	0.006707	0.2246	0.1456	0.01177	-0.009051	0.0507	0.2587	0.03536	0	0	0	0	98.96	0.02855	0.5244	1.256	0.05352	1	0.0255	0.2855	0.7361	0.2265	1	0.04218	0.6111	0.7025	0.5561	1	0.06739	62	0.2081	0.0895	0.00371	15	0.03618	0.0168	0.001643	17	0.07649	0.03892	0.002375
0	7	gpu_nd16_Base	0.574	0.0432	0.4453	0.5547	0.2578	-0.00193	0.2246	0.2346	0.01358	0.006489	0.2206	0.1403	0.01084	-0.009376	0.05122	0.2661	0.03357	0	0	0	0	96.49	0.02806	0.5545	1.294	0.04791	1	0.02572	0.2888	0.7333	0.1951	1	0.04408	0.6457	0.719	0.426	1	0.06695	62	0.2081	0.0895	0.00371	15	0.03618	0.0168	0.001643	17	0.07649	0.03892	0.002375
0	8	gpu_nd16_Base	0.5236	0.04406	0.4531	0.5469	0.3203	-0.001683	0.2296	0.2356	0.01343	0.006867	0.2234	0.1402	0.01078	-0.009305	0.05141	0.2564	0.03298	0	0	0	0	95.45	0.02839	0.5754	1.32	0.04353	1	0.02547	0.2952	0.7393	0.1954	1	0.04527	0.6556	0.7319	0.4764	1	0.06679	62	0.2081	0.0895	0.00371	15	0.03618	0.0168	0.001643	17	0.07649	0.03892	0.002375
0	9	gpu_nd16_Base	0.6154	0.0382	0.375	0.625	0.2109	-0.001871	0.2454	0.253	0.01358	0.006798	0.224	0.141	0.01065	-0.009238	0.05208	0.2542	0.03418	0	0	0	0	95.66	0.02852	0.5971	1.347	0.03861	1	0.02566	0.3013	0.7436	0.166	1	0.04578	0.6823	0.7469	0.3846	1	0.0668	62	0.2081	0.0895	0.00371	15	0.03618	0.0168	0.001643	17	0.07649	0.03892	0.002375
0	10	gpu_nd16_Base	0.6425	0.03641	0.3594	0.6406	0.1875	-0.001309	0.2296	0.2235	0.01612	0.007267	0.2255	0.1478	0.01094	-0.009252	0.0524	0.2439	0.03682	0	0	0	0	94.5	0.02901	0.6177	1.372	0.03383	1	0.0251	0.3137	0.7471	0.1574	1	0.04653	0.6796	0.755	0.3575	1	0.06696	50	0.3373	0.1084	0.003066	17	0.05968	0.0333	0.001312	17	0.1213	0.07803	0.0035
0	11	gpu_nd16_Base	0.7069	0.03125	0.25	0.75	0.1641	-0.001508	0.231	0.2442	0.01572	0.006898	0.2257	0.1389	0.01015	-0.008965	0.05268	0.2392	0.03693	0	0	0	0	92.45	0.02848	0.6273	1.405	0.03018	1	0.02518	0.3274	0.7479	0.1357	1	0.04638	0.6986	0.7625	0.2931	1	0.06704	50	0.3373	0.1084	0.003066	17	0.05968	0.0333	0.001312	17	0.1213	0.07803	0.0035
0	12	gpu_nd16_Base	0.6742	0.03078	0.2891	0.7109	0.2031	-0.001614	0.234	0.2481	0.01517	0.00713	0.2287	0.1469	0.0107	-0.00904	0.05282	0.2364	0.03614	0	0	0	0	92.25	0.02921	0.6409	1.429	0.02781	1	0.02511	0.3268	0.7536	0.1402	1	0.04568	0.7038	0.7673	0.3258	1	0.06698	50	0.3373	0.1084	0.003066	17	0.05968	0.0333	0.001312	17	0.1213	0.07803	0.0035
0	13	gpu_nd16_Base	0.7241	0.02727	0.2422	0.7578	0.1719	-0.002188	0.2296	0.2565	0.01824	0.007298	0.2286	0.1533	0.01	-0.00882	0.05359	0.2307	0.03663	0	0	0	0	92.19	0.02948	0.6642	1.441	0.02509	1	0.02501	0.3368	0.7664	0.118	1	0.04581	0.7028	0.7751	0.2759	1	0.06679	50	0.3373	0.1084	0.003066	17	0.05968	0.0333	0.001312	17	0.1213	0.07803	0.0035
0	14	gpu_nd16_Base	0.7315	0.02422	0.2266	0.7734	0.1719	-0.001664	0.2281	0.2709	0.01333	0.00735	0.2377	0.1551	0.01109	-0.008455	0.05306	0.2225	0.03384	0	0	0	0	90.79	0.03026	0.6826	1.462	0.02215	1	0.02473	0.3439	0.7778	0.116	1	0.04476	0.7339	0.7826	0.2685	1	0.06708	50	0.3373	0.1084	0.003066	17	0.05968	0.0333	0.001312	17	0.1213	0.07803	0.0035
